group,x,bin,isknot,mid,fit,cohort
ARG,52.33333333333338,8,0,0,64.57344815307417,1950s
ARG,52.666666666666714,8,0,0,64.81148020210402,1950s
ARG,53.00000000000005,8,0,0,65.04951225113388,1950s
ARG,53.333333333333385,8,0,0,65.28754430016372,1950s
ARG,53.66666666666672,8,0,0,65.52557634919356,1950s
ARG,54.00000000000006,8,0,0,65.76360839822341,1950s
ARG,54.33333333333339,8,0,1,66.00164044725327,1950s
ARG,54.66666666666673,8,0,0,66.2396724962831,1950s
ARG,55.000000000000064,8,0,0,66.47770454531295,1950s
ARG,55.3333333333334,8,0,0,66.7157365943428,1950s
ARG,55.666666666666735,8,0,0,66.95376864337265,1950s
ARG,56.00000000000007,8,0,0,67.1918006924025,1950s
ARG,56.33333333333341,8,0,0,67.42983274143234,1950s
ARG,56.66666666666674,8,0,0,67.6678647904622,1950s
ARG,57.00000000000008,8,0,0,67.90589683949204,1950s
ARG,57.333333333333414,8,0,0,68.14392888852188,1950s
ARG,57.66666666666675,8,0,0,68.38196093755174,1950s
ARG,58.000000000000085,8,1,0,68.6199929865816,1950s
ARG,58.33333333333342,9,0,0,68.85802503561143,1950s
ARG,58.66666666666676,9,0,0,69.09605708464127,1950s
ARG,59.00000000000009,9,0,0,69.33408913367113,1950s
ARG,59.33333333333343,9,0,0,69.57212118270098,1950s
ARG,59.666666666666764,9,0,0,69.81015323173082,1950s
ARG,60.0000000000001,9,0,0,70.04818528076066,1950s
ARG,60.333333333333435,9,0,0,70.28621732979052,1950s
ARG,60.66666666666677,9,0,0,70.52424937882037,1950s
ARG,61.00000000000011,9,0,0,70.76228142785021,1950s
ARG,61.33333333333344,9,0,1,71.00031347688005,1950s
ARG,61.66666666666678,9,0,0,71.2383455259099,1950s
ARG,62.000000000000114,9,0,0,71.47637757493976,1950s
ARG,62.33333333333345,9,0,0,71.7144096239696,1950s
ARG,62.666666666666785,9,0,0,71.95244167299946,1950s
ARG,63.00000000000012,9,0,0,72.19047372202931,1950s
ARG,63.33333333333346,9,0,0,72.42850577105915,1950s
ARG,63.66666666666679,9,0,0,72.66653782008899,1950s
ARG,64.00000000000013,9,0,0,72.90456986911884,1950s
ARG,64.33333333333346,9,0,0,73.14260191814869,1950s
ARG,64.66666666666679,9,0,0,73.38063396717854,1950s
ARG,65.00000000000011,9,1,0,73.61866601620838,1950s
ARG,65.33333333333344,10,0,0,73.85669806523822,1950s
ARG,65.66666666666677,10,0,0,74.09473011426806,1950s
ARG,66.0000000000001,10,0,0,74.3327621632979,1950s
ARG,66.33333333333343,10,0,0,74.57079421232774,1950s
ARG,66.66666666666676,10,0,0,74.80882626135758,1950s
ARG,67.00000000000009,10,0,0,75.04685831038742,1950s
ARG,67.33333333333341,10,0,0,75.28489035941726,1950s
ARG,67.66666666666674,10,0,0,75.52292240844712,1950s
ARG,68.00000000000007,10,0,0,75.76095445747696,1950s
ARG,68.3333333333334,10,0,1,75.9989865065068,1950s
ARG,68.66666666666673,10,0,0,76.23701855553665,1950s
ARG,69.00000000000006,10,0,0,76.47505060456649,1950s
ARG,69.33333333333339,10,0,0,76.71308265359633,1950s
ARG,69.66666666666671,10,0,0,76.95111470262617,1950s
ARG,70.00000000000004,10,0,0,77.18914675165601,1950s
ARG,70.33333333333337,10,0,0,77.42717880068585,1950s
ARG,70.6666666666667,10,0,0,77.66521084971569,1950s
ARG,71.00000000000003,10,0,0,77.90324289874553,1950s
ARG,71.33333333333336,10,0,0,78.14127494777537,1950s
ARG,71.66666666666669,10,0,0,78.37930699680523,1950s
ARG,1.380952380952381,1,0,0,29.446473298297047,1960s
ARG,1.7619047619047619,1,0,0,29.697356352130345,1960s
ARG,2.142857142857143,1,0,0,29.948239405963644,1960s
ARG,2.5238095238095237,1,0,0,30.199122459796943,1960s
ARG,2.9047619047619047,1,0,0,30.45000551363024,1960s
ARG,3.2857142857142856,1,0,0,30.70088856746354,1960s
ARG,3.6666666666666665,1,0,0,30.95177162129684,1960s
ARG,4.0476190476190474,1,0,0,31.202654675130137,1960s
ARG,4.428571428571429,1,0,0,31.453537728963436,1960s
ARG,4.80952380952381,1,0,1,31.704420782796735,1960s
ARG,5.190476190476192,1,0,0,31.955303836630033,1960s
ARG,5.571428571428573,1,0,0,32.20618689046333,1960s
ARG,5.952380952380954,1,0,0,32.457069944296634,1960s
ARG,6.333333333333336,1,0,0,32.707952998129926,1960s
ARG,6.714285714285717,1,0,0,32.95883605196323,1960s
ARG,7.0952380952380985,1,0,0,33.20971910579653,1960s
ARG,7.47619047619048,1,0,0,33.46060215962983,1960s
ARG,7.857142857142861,1,0,0,33.71148521346313,1960s
ARG,8.238095238095243,1,0,0,33.962368267296426,1960s
ARG,8.619047619047624,1,0,0,34.213251321129725,1960s
ARG,9.000000000000005,1,1,0,34.464134374963024,1960s
ARG,9.33333333333334,2,0,0,34.68365704706716,1960s
ARG,9.666666666666673,2,0,0,34.90317971917129,1960s
